Plant id,Plant name ,County,State,state county fips,water source,Latitude,Longitude,elevation_in_feet,com_id,gen type,CAPACITY_MW,CHP,USGS_WATER_TYPE,MODEL_COOL_TYPE,MODEL_WD,MODEL_MIN_WD,MODEL_MAX_WD,EIA_COOL_TYPE,EIA_WD,EIA_WD_INRANGE,COMP_COOL_TYPE,COMP_DATA_SOURCE,COMP_WD,COMP_TOTAL_WD,COMP_WD_INRANGE,NET_GEN_MWH,MAX_WITHDRAWAL,MIN_CONSUMPTION,MAX_CONSUMPTION,MIN_CONSUMPTION,Precipitation_1971-2000,Precipitation_2011,Precipitation_2012,Precipitation_2013,Precipitation_2014,Precipitation_2015,Precipitation_2016,Precipitation_2017,Precipitation_2018,Precipitation_2019,Precipitation_2020,Precipitation_2021,Temperature_2011,Temperature_2012,Temperature_2013,Temperature_2014,Temperature_2015,Temperature_2016,Temperature_2017,Temperature_2018,Temperature_2019,Temperature_2020,Temperature_2021,,,,,,,,,,
1619,Brayton Point,Bristol,MA,25005,Mt Hope Bay,41.71141,-71.1925,0,6130319,COAL,1124.6,0,SA,COMPLEX,543,247,4060,ONCE-THROUGH SALINE,741.1,IN RANGE,ONCE-THROUGH SALINE,EIA,834,834,IN RANGE,6664993,6.88,2.49,3.1,2.49,47.7,57.65,43.38,47.69,50.63,42.61,38.2,47.4,63.96,54.53,32.25,51.68,52.0°F,52,53.3,51.1,50.2,50.7,52.5,51.6,51.6,50.8,52.9,,,,,,,,,,
1626,Salem Harbor,Essex,MA,25009,"Salem Harbor, Atlantic Ocean",42.52631,-70.877,0,5861139,COAL,805.1,0,SA,ONCE-THROUGH SALINE,127,57.7,947,ONCE-THROUGH SALINE,245.8,IN RANGE,ONCE-THROUGH SALINE,EIA,284,284,IN RANGE,1269632,#N/A,#N/A,#N/A,#N/A,47.7,56.76,40.38,41.86,49.94,38.18,35.15,43.94,54.7,49.4,41.25,56.88,50.1°F,50.1,51.8,49.4,48.1,48.9,50.7,49.8,49.6,48.7,51.2,,,,,,,,,,
1642,NAEA Energy Massachusetts LLC,Hampden,MA,25013,Connecticut River,42.09268,-72.5924,60,7698936,COMPLEX,250.6,0,FR,COMPLEX,6.99,3.19,51.8,COMPLEX,0.2,LOW,ONCE-THROUGH FRESH,MODEL,6.99,6.99,IN RANGE,60368,10.9,0.68,0.02,0.01,47.7,65.62,41.42,48.12,51.03,42.8,35.53,44.72,63.7,49.8,43.29,55.93,49.5°F,49.5,51.2,48.4,47.3,48.2,49.9,49.2,49.1,48.2,50.5,,,,,,,,,,
1682,Cleary Flood,Bristol,MA,25005,Taunton River,41.86527,-71.1062,10,6129897,COMPLEX,146.3,0,SA,COMPLEX,0.53,0.29,3.09,COMPLEX,1.1,IN RANGE,COMPLEX,MODEL,0.26,0.26,LOW,86660,1.55,0.22,0.19,0.15,47.7,57.65,43.38,47.69,50.63,42.61,38.2,47.4,63.96,54.53,32.25,51.68,52.0°F,52,53.3,51.1,50.2,50.7,52.5,51.6,51.6,50.8,52.9,,,,,,,,,,
2364,Merrimack,Merrimack,NH,33013,Merrimack River,43.14141,-71.4688,210,6742050,COAL,496.4,0,FR,ONCE-THROUGH FRESH,243,111,1820,ONCE-THROUGH FRESH,196.8,IN RANGE,ONCE-THROUGH FRESH,STATE,200,200,IN RANGE,2667978,551,32.8,0.66,0.42,43.4,58.42,42.3,44.96,51.21,41.06,36.86,48.26,52.76,46.71,39.73,47.81,46.6°F,46.6,48.3,45.9,44.7,45.6,47.8,46.9,46.3,45.2,47.6,,,,,,,,,,
2367,Schiller,Rockingham,NH,33015,Piscataqua River,43.09749,-70.7838,0,5846414,COMPLEX,171.2,0,SA,ONCE-THROUGH SALINE,94.6,43.1,706,ONCE-THROUGH SALINE,0.6,LOW,ONCE-THROUGH SALINE,STATE,114,114,IN RANGE,761436,427,25.7,0,0,43.4,54.93,40.47,43.45,47.18,38.16,36.2,44.54,55.67,47.88,39.61,50.95,48.7°F,48.7,50.5,48,47,47.4,49.4,48.5,48.2,47.4,49.7,,,,,,,,,,
2480,Danskammer Generating Station,Orange,NY,36071,Hudson River,41.57318,-73.9648,5,6212808,COAL,537.4,0,SA,ONCE-THROUGH FRESH,157,71.3,1170,ONCE-THROUGH FRESH,164.3,IN RANGE,ONCE-THROUGH SALINE,STATE,178,178,IN RANGE,1705111,28.8,1.78,0.05,0.03,41.8,75.73,40.64,43.6,40.27,40.94,36.53,40.31,61.5,49.21,41.99,47.38,50.7°F,50.7,52.4,49.7,48.5,49.9,51.7,50.8,50.4,49.8,51.6,,,,,,,,,,
2490,Arthur Kill Generating Station,Richmond,NY,36085,Arthur Kill,40.59155,-74.2001,0,6261866,GAS STEAM,931.7,0,SA,ONCE-THROUGH SALINE,98.6,45,729,ONCE-THROUGH SALINE,350.3,IN RANGE,ONCE-THROUGH SALINE,STATE,350,350,IN RANGE,923247,800,49.3,0,0,41.8,68.83,38.67,42.94,50.51,39.9,38.1,46.11,62.34,57.12,47.94,54.01,56.4°F,56.4,57.3,54.9,53.6,55.6,56.2,55.5,55.6,55.6,57.2,,,,,,,,,,
2491,Charles Poletti,Queens,NY,36081,N/A,N/A,N/A,N/A,N/A,COMPLEX,883,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ONCE-THROUGH SALINE,STATE,45.5,45.5,N/A,111892,#N/A,#N/A,#N/A,#N/A,41.8,64.3,39.27,39.88,52.31,39.55,39.16,44.19,61.5,53.38,43.87,50.01,55.9°F,55.9,57,54.5,53.6,55.5,56,55.2,55.3,54.9,56.6,,,,,,,,,,
2493,East River,New York,NY,36061,East River,40.72782,-73.9732,0,26408400,COMPLEX,716.2,1,SA,ONCE-THROUGH SALINE,108,49.1,803,ONCE-THROUGH SALINE,24.7,LOW,ONCE-THROUGH SALINE,STATE,29.4,29.4,LOW,951524,535,32.8,0,0,41.8,68.6,37.46,42.24,51.4,39.27,39.16,43.67,62.38,54.12,45.08,54.2,56.2°F,56.2,57.3,54.8,53.8,55.7,57,56.3,55.6,55.4,57.2,,,,,,,,,,
2497,Indian Point 2,Westchester,NY,36119,Hudson River,41.27056,-73.9514,0,6229110,NUCLEAR,1299,0,SA,ONCE-THROUGH SALINE,807,367,6020,ONCE-THROUGH SALINE,1041.5,IN RANGE,ONCE-THROUGH SALINE,STATE,1967,1967,IN RANGE,7325923,7340,448,0,0,41.8,71.81,41.53,41.9,46.84,40.26,37.03,39.75,61.22,50.73,41.26,46.79,53.1°F,53.1,54.6,51.8,50.8,52.4,54.1,53.3,52.8,52.5,54.2,,,,,,,,,,
2500,Ravenswood,Queens,NY,36081,East River,40.75912,-73.9455,0,26408400,COMPLEX,2077,0,SA,COMPLEX,279,127,2060,COMPLEX,341.5,IN RANGE,ONCE-THROUGH SALINE,STATE,617,617,IN RANGE,3502794,2360,145,0,0,41.8,64.3,39.27,39.88,52.31,39.55,39.16,44.19,61.5,53.38,43.87,50.01,55.9°F,55.9,57,54.5,53.6,55.5,56,55.2,55.3,54.9,56.6,,,,,,,,,,
2511,E F Barrett,Nassau,NY,36059,Barnum Island Channel,40.61633,-73.6479,0,N/A,GAS STEAM,687.2,0,SA,ONCE-THROUGH SALINE,99.5,45.3,741,ONCE-THROUGH SALINE,225.9,IN RANGE,ONCE-THROUGH SALINE,EIA,273,273,IN RANGE,1081236,940,57.4,0,0,41.8,57.97,40.3,36.3,50.43,38.12,36.13,42.36,50.65,49.9,41.78,45.24,55.2°F,55.2,56.2,53.7,52.9,54.7,56.1,55.4,54.5,54.2,56,,,,,,,,,,
2513,Far Rockaway,Queens,NY,36081,Mott Basin,40.61089,-73.7611,0,9500664,GAS STEAM,100,0,SA,ONCE-THROUGH SALINE,19.4,8.87,143,ONCE-THROUGH SALINE,31,IN RANGE,ONCE-THROUGH SALINE,EIA,65.7,65.7,IN RANGE,189853,#N/A,#N/A,#N/A,#N/A,41.8,64.3,39.27,39.88,52.31,39.55,39.16,44.19,61.5,53.38,43.87,50.01,55.9°F,55.9,57,54.5,53.6,55.5,56,55.2,55.3,54.9,56.6,,,,,,,,,,
2514,National Grid Glenwood Energy Center,Nassau,NY,36059,Hempstead Harbor,40.8272,-73.6479,0,9509988,GAS STEAM,338,0,SA,ONCE-THROUGH SALINE,17.6,8.03,129,ONCE-THROUGH SALINE,28.7,IN RANGE,ONCE-THROUGH SALINE,EIA,73,73,IN RANGE,152178,#N/A,#N/A,#N/A,#N/A,41.8,57.97,40.3,36.3,50.43,38.12,36.13,42.36,50.65,49.9,41.78,45.24,55.2°F,55.2,56.2,53.7,52.9,54.7,56.1,55.4,54.5,54.2,56,,,,,,,,,,
2516,Northport,Suffolk,NY,36103,Long Island Sound,40.92318,-73.3429,0,9509872,COMPLEX,1564,0,SA,ONCE-THROUGH SALINE,356,162,2650,ONCE-THROUGH SALINE,705.3,IN RANGE,ONCE-THROUGH SALINE,EIA,91.6,91.6,LOW,4029562,1940,118,0,0,41.8,51.97,41.46,38.27,45.82,36.06,34.44,42.52,59.57,50.9,42.78,43.63,53.7°F,53.7,54.9,52.3,51.6,52.7,54.1,53.6,53.1,52.6,54.1,,,,,,,,,,
2517,Port Jefferson,Suffolk,NY,36103,Long Island Sound,40.94998,-73.0784,0,9509844,COMPLEX,498,0,SA,ONCE-THROUGH SALINE,42.1,19.2,311,ONCE-THROUGH SALINE,83.5,IN RANGE,ONCE-THROUGH SALINE,EIA,355,355,HIGH,430189,290,17.7,0,0,41.8,51.97,41.46,38.27,45.82,36.06,34.44,42.52,59.57,50.9,42.78,43.63,53.7°F,53.7,54.9,52.3,51.6,52.7,54.1,53.6,53.1,52.6,54.1,,,,,,,,,,
2526,AES Westover,Broome,NY,36007,Susquehanna River,42.11143,-75.9733,837,8099955,COAL,75,1,FR,ONCE-THROUGH FRESH,24,10.9,180,-nr-,-nr-,N/A,ONCE-THROUGH FRESH,STATE,29.1,29.1,IN RANGE,257001,#N/A,#N/A,#N/A,#N/A,41.8,67.25,40.92,44.51,40.84,41.07,37.27,47.77,58.67,47.46,42.13,51.4,47.9°F,47.9,49.5,46.4,45.1,46.5,48.2,47.4,46.7,46.1,48.3,,,,,,,,,,
2527,AES Greenidge LLC,Yates,NY,36123,Seneca Lake,42.67938,-76.9486,474,21980257,COAL,112.5,0,FR,ONCE-THROUGH FRESH,51.7,23.5,386,ONCE-THROUGH FRESH,51.5,IN RANGE,ONCE-THROUGH FRESH,STATE,73.4,73.4,IN RANGE,544502,#N/A,#N/A,#N/A,#N/A,41.8,40.7,32.73,34.09,35.67,35.08,29.79,42.37,34.96,34.36,30.29,42.34,48.4°F,48.4,50.3,47.1,45.7,47,49.2,48.7,47.6,46.7,49.3,,,,,,,,,,
2535,AES Cayuga,Tompkins,NY,36109,Cayuga Lake,42.60186,-76.6346,384,21980363,COAL,322.5,0,FR,ONCE-THROUGH FRESH,158,71.7,1180,ONCE-THROUGH FRESH,223.1,IN RANGE,ONCE-THROUGH FRESH,STATE,223,223,IN RANGE,1782534,381,23.1,0.56,0.36,41.8,51.21,35.27,41.4,38.66,37.02,33.36,44.14,45.99,43.2,36.65,48.08,47.7°F,47.7,49.5,46.3,44.5,45.8,47.9,47.5,46.4,45.7,48.1,,,,,,,,,,
2539,Bethlehem Energy Center,Albany,NY,36001,Hudson River,42.59433,-73.7632,14,6186236,NGCC,893.1,0,FR,RECIRCULATING TOWER,3.13,2.4,4.82,RECIRCULATING TOWER,2.7,IN RANGE,RECIRCULATING TOWER,STATE,2.75,2.75,IN RANGE,4227360,5.24,1.71,2.36,1.71,41.8,58.33,36.98,41.07,41.33,37.51,32.7,39.93,47.66,44.79,37.42,46.26,48.7°F,48.7,50.5,47.4,46.2,47.3,49.4,48.7,48,47.2,49.8,,,,,,,,,,
2549,C R Huntley Generating Station,Erie,NY,36029,Niagara River,42.97024,-78.9313,571.5551,15569803,COAL,436,0,FR,ONCE-THROUGH FRESH,186,84.8,1390,ONCE-THROUGH FRESH,284.2,IN RANGE,ONCE-THROUGH FRESH,STATE,271,271,IN RANGE,2047493,319,19.4,0.5,0.32,41.8,49.31,37.05,45.9,41.7,40.7,35.44,51.91,43.6,45.02,39.35,41.22,48.4°F,48.4,50.6,47.4,45.6,47.2,49.1,48.1,48.4,47,49.8,,,,,,,,,,
2554,Dunkirk Generating Plant,Chautauqua,NY,36013,Lake Erie,42.49107,-79.3468,581,9840316,COAL,627.2,0,FR,ONCE-THROUGH FRESH,238,108,1780,ONCE-THROUGH FRESH,341.1,IN RANGE,ONCE-THROUGH FRESH,STATE,417,417,IN RANGE,2667378,344,20.9,0.53,0.34,41.8,53.49,42.05,48.07,47.51,42.99,44.15,51.58,49.85,49.1,42.03,46.38,47.9°F,47.9,49.6,46.6,44.8,46.3,48.6,48.4,47.6,47.3,49.3,,,,,,,,,,
2589,Nine Mile Point Nuclear Station,Oswego,NY,36075,Lake Ontario,43.52159,-76.4072,261,21624225,NUCLEAR,1901.1,0,FR,COMPLEX,547,254,3990,COMPLEX,392.5,IN RANGE,ONCE-THROUGH FRESH,STATE,431,431,IN RANGE,14239053,3810,243,23,17.3,41.8,52.49,41.2,50.15,46.1,43.4,44,53.4,44.65,51.86,38.48,47.7,47.4°F,47.4,49.7,46.2,45.2,46,47.4,46.7,46.7,45.5,48.5,,,,,,,,,,
2594,Oswego Harbor Power,Oswego,NY,36075,Lake Ontario,43.45878,-76.5317,253,21632367,OIL,1803.6,0,FR,ONCE-THROUGH FRESH,7.52,3.42,56.2,ONCE-THROUGH FRESH,2.3,LOW,ONCE-THROUGH FRESH,STATE,21.3,21.3,IN RANGE,64710,52.6,3.18,0.07,0.05,41.8,52.49,41.2,50.15,46.1,43.4,44,53.4,44.65,51.86,38.48,47.7,47.4°F,47.4,49.7,46.2,45.2,46,47.4,46.7,46.7,45.5,48.5,,,,,,,,,,
2625,Bowline Point,Rockland,NY,36087,Hudson River,41.20552,-73.9669,3,6228348,GAS STEAM,1242,0,SA,ONCE-THROUGH SALINE,35.1,16.1,259,ONCE-THROUGH SALINE,62.3,IN RANGE,ONCE-THROUGH SALINE,STATE,98.5,98.5,IN RANGE,293023,1040,64,0,0,41.8,73.5,41.84,42.74,45.9,40.77,38.78,39.76,63.4,51.35,42.04,46.99,52.8°F,52.8,54.2,51.6,50.6,52.1,52.8,52.4,52.2,52.1,54,,,,,,,,,,
2682,S A Carlson,Chautauqua,NY,36013,Chadakoin River,42.09355,-79.2478,1317,15445117,COMPLEX,96.3,0,FR,COMPLEX,0.63,0.12,70.3,-nr-,-nr-,N/A,RECIRCULATING TOWER,MODEL,0.63,0.63,IN RANGE,62387,9.16,0.01,0.02,0.01,41.8,53.49,42.05,48.07,47.51,42.99,44.15,51.58,49.85,49.1,42.03,46.38,47.9°F,47.9,49.6,46.6,44.8,46.3,48.6,48.4,47.6,47.3,49.3,,,,,,,,,,
3236,Manchester Street,Providence,RI,44007,Providence River,41.81595,-71.4043,0,6134059,NGCC,515,0,SA,ONCE-THROUGH SALINE,83.5,38,623,ONCE-THROUGH SALINE,227.6,IN RANGE,ONCE-THROUGH SALINE,MODEL,232,232,IN RANGE,1928019,634,38.8,0,0,47.9,61.56,43.45,46.33,47.67,40.44,42.29,49.73,66.02,56.45,45.76,54.03,51.2°F,51.2,52.4,50.2,49.1,49.8,51.7,50.9,51,49.9,52.2,,,,,,,,,,
3751,Vermont Yankee,Windham,VT,50025,Connecticut River,42.77863,-72.5134,243,9332552,NUCLEAR,563.4,0,FR,COMPLEX,501,7.41,3780,COMPLEX,333.3,IN RANGE,ONCE-THROUGH FRESH,EIA,344,344,IN RANGE,4782473,#N/A,#N/A,#N/A,#N/A,42.7,68.44,45.06,47.65,52.53,44.1,39.28,52.4,59,52.88,46.82,57.66,42.9°F,45.4,47.3,44.4,43.2,44.1,46,45.3,45,43.8,46.3,,,,,,,,,,
6081,Stony Brook,Hampden,MA,25013,Municipality,42.19765,-72.5105,238,7691717,NGCC,530,0,FR,RECIRCULATING TOWER,0.39,0.31,0.6,RECIRCULATING TOWER,0.2,LOW,-nr-,-nr-,-nr-,-nr-,N/A,308694,0.42,0.14,0.19,0.14,47.7,65.62,41.42,48.12,51.03,42.8,35.53,44.72,63.7,49.8,43.29,55.93,49.5°F,49.5,51.2,48.4,47.3,48.2,49.9,49.2,49.1,48.2,50.5,,,,,,,,,,
6082,AES Somerset LLC,Niagara,NY,36063,Lake Ontario,43.35681,-78.604,291,15559451,COAL,655.1,0,FR,ONCE-THROUGH FRESH,368,167,2760,ONCE-THROUGH FRESH,226.3,IN RANGE,ONCE-THROUGH FRESH,STATE,233,233,IN RANGE,4557835,396,23.6,0.5,0.32,41.8,42.49,30.96,41.05,33.62,30.57,27.58,42.95,33.24,40.11,31.62,34.51,51.6°F,49.4,51.6,48.2,46.6,48.1,51,50.4,48.9,47.3,50.3,,,,,,,,,,
6110,James A Fitzpatrick,Oswego,NY,36075,Lake Ontario,43.52309,-76.3983,271,21624219,NUCLEAR,882,0,FR,ONCE-THROUGH FRESH,643,292,4830,ONCE-THROUGH FRESH,429.1,IN RANGE,ONCE-THROUGH FRESH,STATE,507,507,IN RANGE,6361483,5670,344,8.4,5.37,41.8,52.49,41.2,50.15,46.1,43.4,44,53.4,44.65,51.86,38.48,47.7,47.4°F,47.4,49.7,46.2,45.2,46,47.4,46.7,46.7,45.5,48.5,,,,,,,,,,
6115,Seabrook,Rockingham,NH,33015,Atlantic Ocean,42.89879,-70.849,0,5849450,NUCLEAR,1242,0,SA,ONCE-THROUGH SALINE,1090,495,8110,ONCE-THROUGH SALINE,592,IN RANGE,ONCE-THROUGH SALINE,STATE,644,644,IN RANGE,10910055,7070,428,0,0,43.4,54.93,40.47,43.45,47.18,38.16,36.2,44.54,55.67,47.88,39.61,50.95,50.5°F,48.7,50.5,48,47,47.4,49.4,48.5,48.2,47.4,49.7,,,,,,,,,,
6122,R E Ginna Nuclear Power Plant,Wayne,NY,36117,Lake Ontario,43.27766,-77.3089,272,21632807,NUCLEAR,614,0,FR,ONCE-THROUGH FRESH,521,237,3910,ONCE-THROUGH FRESH,481,IN RANGE,ONCE-THROUGH FRESH,STATE,464,464,IN RANGE,4948363,3720,225,5.33,3.41,41.8,44.33,35.33,39.87,38.59,40.55,33.37,41.46,36.8,38.58,29.84,34.57,49.1°F,49.1,51.1,47.7,46.5,47.5,49.2,48.5,47.7,46.4,49.4,,,,,,,,,,
6156,New Haven Harbor,New Haven,CT,9009,New Haven Harbor,41.284,-72.9043,0,6178550,OIL,460,0,SA,ONCE-THROUGH SALINE,17.7,8.09,132,ONCE-THROUGH SALINE,192.7,HIGH,ONCE-THROUGH SALINE,MODEL,17.7,17.7,IN RANGE,122904,113,6.82,0,0,50.3,60.33,37.52,40.76,42.33,34.41,35.71,42.76,61.8,54.28,45.34,50.22,51.9°F,51.9,53.2,50.7,49.7,50.9,52.7,52.1,52,50.8,52.2,,,,,,,,,,
7314,Richard M Flynn,Suffolk,NY,36103,Wells,40.81693,-73.0658,99,9498328,NGCC,164,0,FR,RECIRCULATING TOWER,0.81,0.61,1.27,-nr-,-nr-,N/A,RECIRCULATING TOWER,STATE,0.79,0.79,IN RANGE,942488,1.4,0.47,0.63,0.47,41.8,51.97,41.46,38.27,45.82,36.06,34.44,42.52,59.57,50.9,42.78,43.63,53.7°F,53.7,54.9,52.3,51.6,52.7,54.1,53.6,53.1,52.6,54.1,,,,,,,,,,
7513,Boralex Fort Fairfield,Aroostook,ME,23003,MUNICIPALITY,46.7728,-67.848,444,803111,COMPLEX,37.5,0,-nr-,RECIRCULATING TOWER,0.66,0.49,1.03,-nr-,-nr-,N/A,RECIRCULATING TOWER,MODEL,0,0.66,IN RANGE,267846,0.8,0.28,0.36,0.28,42.2,63.36,41.57,44.67,45.58,37.91,39.9,47.2,63.42,55.46,43.74,54.13,40.5°F,40.5,41.3,39.5,38.8,38.9,40.6,39.8,39.1,38,40.9,,,,,,,,,,
7784,Allegany Cogen,Allegany,NY,36003,Wiscoy Creek,42.50292,-78.0683,1160,15550635,NGCC,67,0,FR,COMPLEX,0.19,0.04,19.9,-nr-,-nr-,N/A,RECIRCULATING TOWER,STATE,0.07,0.07,IN RANGE,46856,39.6,0.06,0.08,0.04,41.8,49.81,38.4,37.98,38.55,40.04,37.41,44.26,49.47,42.28,36.96,45.01,46.7°F,46.7,48.8,45.4,44,45.6,47.5,47.1,46.4,46,47.9,,,,,,,,,,
